# Rime user dictionary
#@/db_name	ounei_test
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1996
#@/user_id	TAKUSEI-DESKTOP
b;[bh 	病	c=1 d=1 t=817
cj[sd uu[mw ld[oh 	參數量	c=2 d=1.95123 t=1483
cj[sd yu[hv 	參與	c=3 d=1.72991 t=1148
cl[aa 	採	c=2 d=1.94649 t=253
cl[aa ji[va 	採集	c=2 d=1.00102 t=1599
cl[aa ji[va x;[kp ui[qg 	採集形式	c=1 d=1 t=218
cl[aa ys[ou 	採用	c=2 d=1.79453 t=521
cl[ap 	彩	c=1 d=1 t=199
cl[hu ng[sb 	才能	c=1 d=1 t=888
cl[hu ui[op 	纔是	c=1 d=1 t=1130
co[jg wu[yk 	錯誤	c=1 d=1 t=786
co[jg wu[yk ly[wu 	錯誤率	c=3 d=2.90305 t=726
cs[rr tb[dd kl[hc ui[ns 	從頭開始	c=1 d=1 t=1310
d;[dy dr[lu 	頂端	c=1 d=1 t=1784
d;[gp le[vu 	定了	c=1 d=1 t=733
d;[gp yi[di 	定義	c=4 d=3.37756 t=1964
da[fd 	打	c=5 d=1.49852 t=1091
da[fd bk[bk 	打包	c=1 d=1 t=1715
da[fd kl[hc 	打開	c=1 d=1 t=356
da[fd zi[gz 	打字	c=1 d=1 t=222
da[hr 	大	c=0 d=0.1 t=1059
da[hr bu[le ff[bd 	大部分	c=1 d=1 t=508
da[hr fu[jh 	大幅	c=1 d=1 t=394
da[hr hv[re 	大會	c=1 d=1 t=765
da[hr jq[dy dm[gb 	大酒店	c=1 d=1 t=1660
da[hr jw[gu 	大家	c=2 d=1.04528 t=847
da[hr jx[rt 	大街	c=0 d=0.1 t=1095
da[hr mo[ac x;[kt 	大模型	c=4 d=3.07142 t=1170
da[hr p;[ub mu[cj 	大屏幕	c=1 d=1 t=1156
da[hr ui[uh 	大師	c=1 d=1 t=1279
db[hk jd[du 	豆漿	c=1 d=1 t=1663
db[te 	都	c=0 d=0.1 t=1830
db[te hv[re 	都會	c=2 d=1.06489 t=1150
db[te ke[dk yi[sr 	都可以	c=1 d=1 t=1971
db[te qu[ts 	都去	c=1 d=1 t=1245
db[te ui[op 	都是	c=4 d=2.59691 t=1517
db[te xd[ax 	都想	c=1 d=1 t=1567
db[te xu[ye yk[xn 	都需要	c=1 d=1 t=1831
db[xu yk[xn 	竇要	c=-1 d=1 t=1830
dc[fb 	掉	c=0 d=0.1 t=440
dc[yk ia[ao wf[mk jr[be 	調查問卷	c=1 d=1 t=753
dc[yk ys[ou 	調用	c=5 d=2.50369 t=1978
de[bb 	的	c=0 d=0.1 t=43
de[ro bu[eu dk[hd 	得不到	c=1 d=1 t=1098
de[ro dk[hd 	得到	c=1 d=1 t=1071
de[ty 	地	c=3 d=0.277748 t=1951
dg[dd lu[xu 	登錄	c=0 d=0.1 t=917
dg[vt uf[pu 	等身	c=1 d=1 t=1160
dh[ax qi[qo 	檔期	c=1 d=1 t=1015
dh[xx ni[rd 	當你	c=1 d=1 t=1915
dh[xx rj[xd 	當然	c=1 d=1 t=1729
dh[xx ui[oc 	當時	c=1 d=0.432871 t=1863
di[ru 	低	c=1 d=1 t=1484
di[ru jw[rr 	低價	c=1 d=1 t=83
di[vg or[hh 	第二	c=1 d=1 t=406
di[vg yi[hh 	第一	c=1 d=1 t=1108
di[vg yi[hh bu[vu 	第一步	c=1 d=1 t=399
di[vg yi[hh cg[ue 	第一層	c=1 d=1 t=1321
di[vg yi[hh ge[ru 	第一個	c=2 d=1.00734 t=1058
di[vg yi[hh jx[uy 	第一屆	c=1 d=1 t=139
dj[bo 	單	c=1 d=1 t=1577
dj[bo du[qi 	單獨	c=1 d=1 t=1047
dj[bo ge[ru 	單個	c=1 d=1 t=283
dj[dh 	淡	c=0 d=0.1 t=1384
dj[fo xn[dv 	擔心	c=1 d=1 t=892
dj[pi ta[fd 	蛋撻	c=1 d=1 t=1664
dj[ro ui[op 	但是	c=12 d=2.03134 t=1976
dk[hd wz[rl 	到位	c=1 d=1.056 t=184
dk[kc vi[hw 	導致	c=1 d=1 t=1302
dk[rh 	倒	c=3 d=0.327012 t=616
dk[rh ml[ud 	倒賣	c=1 d=1 t=51
dk[rh yi[hh ge[ru 	倒一個	c=1 d=1 t=617
dk[vp 	刀	c=1 d=1 t=1651
dl[rb kr[ud 	貸款	c=1 d=1 t=55
dl[rq jw[rr 	代價	c=1 d=1 t=8
dl[rq ma[em 	代碼	c=2 d=1.40657 t=1943
dm[ov zi[lh 	電子	c=0 d=0.1 t=67
dm[ov zi[lh ce[db p;[yp 	電子測評	c=1 d=1 t=68
dm[ov zi[lh ij[lp pn[kk 	電子產品	c=2 d=1.96079 t=60
do[ja xd[mw 	朵驤	c=1 d=1 t=1580
do[xx 	多	c=0 d=0.1 t=399
do[xx da[hr 	多大	c=1 d=1 t=1062
do[xx ge[ru 	多個	c=1 d=1 t=286
do[xx he[rh yi[hh 	多合一	c=1 d=1 t=400
do[xx rf[rq wu[wl 	多任務	c=1 d=1 t=46
dp[ty co[fr 	頓挫	c=1 d=1 t=194
dq[pt 	丟	c=1 d=1 t=1489
dq[pt dc[fb 	丟掉	c=1 d=1 t=1470
dr[lu 	端	c=2 d=1.75578 t=375
dr[lu dk[hd dr[lu 	端到端	c=1 d=1 t=532
dr[mj dm[bd 	斷點	c=1 d=1 t=1757
dr[mj dm[ov 	斷電	c=1 d=1 t=1756
ds[el 	動	c=0 d=0.1 t=567
ds[el hw[ht 	動畫	c=3 d=2.06009 t=576
ds[el zo[rv 	動作	c=4 d=2.4008 t=473
ds[qx xi[hk 	東西	c=11 d=2.79168 t=1673
ds[xc 	懂	c=1 d=1 t=569
du[gn 	度	c=0 d=0.1 t=615
dv[tv vj[aj 	堆棧	c=1 d=1 t=1760
dv[yc co[jg 	對錯	c=1 d=1 t=324
dv[yc hw[yq 	對話	c=3 d=1.86242 t=1480
dv[yc xd[dk 	對象	c=3 d=2.8606 t=1989
dv[yc y;[gx 	對應	c=0 d=0.1 t=1692
dv[yc y;[gx lu[zw j;[rs 	對應路徑	c=1 d=1 t=1693
dv[yc yu[eu 	對於	c=1 d=1 t=531
dv[yc yu[wd 	對玉	c=-1 d=1 t=43
dz[ro 	得	c=1 d=1 t=1111
fa[vy bu[uj 	發佈	c=2 d=1.24051 t=1051
fa[vy xm[wj 	發現	c=1 d=1 t=126
fb[bk ze[bd 	否則	c=2 d=1.99501 t=1991
ff[bd bm[ld 	分辨	c=1 d=1 t=24
ff[bd bx[kd 	分別	c=1 d=1 t=953
ff[bd ci[yv 	分詞	c=11 d=1.04902 t=1597
ff[bd kl[hc 	分開	c=1 d=1 t=499
ff[mf ci[cd 	粉刺	c=1 d=1 t=213
ff[mf si[sh 	粉絲	c=1 d=1 t=132
fh[dw bm[rh 	方便	c=1 d=1.04176 t=1951
fh[dw bm[rh de[ty 	方便地	c=1 d=1 t=1952
fh[dw fa[dt 	方法	c=4 d=1.65513 t=1288
fh[dw oj[ga 	方案	c=0 d=0.1 t=1585
fh[dw ui[qg 	方式	c=1 d=1 t=1749
fh[dw xd[pk 	方向	c=3 d=2.00283 t=1442
fh[dw yj[we 	方言	c=1 d=1 t=1552
fh[fw ni[rd ma[nm 	放你媽	c=0 d=0.1 t=43
fh[fw ni[rd ma[nm de[bb pi[ub 	放你媽的屁	c=1 d=1 t=44
fh[fw xw[hb 	放下	c=1 d=1 t=366
fh[fw zl[ut 	放在	c=2 d=1.00687 t=1741
fh[yf wf[mk 	訪問	c=3 d=1.65042 t=947
fj[px yi[yy 	翻譯	c=6 d=3.13867 t=1534
fj[py kv[uv 	反饋	c=4 d=3.2636 t=874
fj[py or[ek 	反而	c=1 d=1 t=481
fu[gh ge[kk 	富哥	c=1 d=1 t=59
fu[if dk[kc 	輔導	c=1 d=1 t=164
fu[oe wu[wl 	服務	c=1 d=0.205928 t=823
fu[oe wu[wl qi[kq 	服務器	c=1 d=1 t=278
fu[rc qm[jj 	付錢	c=1 d=1 t=967
fu[ro ho[dq sl[gb 	復活賽	c=1 d=1 t=11
fu[ro za[ja 	複雜	c=2 d=1.03127 t=1212
fu[xr gl[bm 	覆蓋	c=1 d=1 t=1812
fz[su 	非	c=2 d=1.50662 t=980
fz[su ih[xk 	非常	c=1 d=1 t=839
gb[db ts[sz 	溝通	c=2 d=1.1764 t=664
ge[ru 	個	c=0 d=0.1 t=546
ge[ru rf[pd 	個人	c=1 d=0.33457 t=1206
gf[ag ju[fu 	根據	c=2 d=1.96079 t=248
gf[zg 	跟	c=1 d=1 t=957
gg[ho 	更	c=0 d=0.1 t=992
gg[ho do[xx 	更多	c=2 d=1.00454 t=1241
gg[ho gk[wk 	更高	c=1 d=1 t=627
gg[ho jm[ke 	更見	c=0 d=0.1 t=1384
gg[ho jm[ke dj[dh 	更見淡	c=1 d=1 t=1385
gg[ho ky[xv 	更快	c=1 d=1 t=1774
gg[ho xi[iu wh[ww 	更希望	c=1 d=1 t=993
gj[wx x;[xb qu[ze 	感興趣	c=1 d=1 t=798
gk[fw 	搞	c=1 d=1 t=1687
gk[nk su[yj ni[rd 	告訴你	c=1 d=1 t=756
gl[kw ig[wv 	改成	c=1 d=1 t=119
go[cz 	過	c=0 d=0.101974 t=1170
go[ww wl[xb 	國外	c=1 d=1 t=1012
gr[bt cu[mq 	關粗	c=1 d=1 t=1099
gr[bt dc[fb 	關掉	c=1 d=1 t=641
gr[bt jm[jy 	關鍵	c=1 d=1 t=1634
gr[bt vu[dd 	關注	c=3 d=1.9212 t=1242
gr[bt yu[eu 	關於	c=1 d=1 t=1306
gr[vg li[wo 	管理	c=1 d=1 t=1988
gr[vg ys[ou 	管用	c=1 d=1 t=1094
gr[ys 	鰥	c=-1 d=0 t=1093
gs[gl ng[sb 	功能	c=1 d=1 t=1275
gs[hu 	工	c=1 d=1 t=1601
gs[hu ig[hk 	工程	c=2 d=1.0609 t=1865
gs[hu ig[hk ui[uh 	工程師	c=1 d=1 t=312
gs[hu ig[hk wf[wi jm[rn 	工程文件	c=1 d=1 t=1866
gs[hu ju[jb 	工具	c=2 d=1.15803 t=552
gu[bk ge[kd 	谷歌	c=1 d=1 t=1324
gu[gw ui[hk 	故事	c=2 d=1.6005 t=1054
gu[jw 	錮	c=1 d=1 t=1388
gu[kg 	咕	c=1 d=1 t=1615
gu[ko ge[gw 	骨骼	c=2 d=1.99005 t=1327
gu[ko jw[la 	骨架	c=4 d=2.97104 t=1531
gu[rg ji[yu 	估計	c=3 d=1.07523 t=1488
gv[ej ly[ry 	規律	c=1 d=1 t=452
gv[ej ze[bd 	規則	c=1 d=1 t=734
gz[sr dm[bd 	給點	c=1 d=1 t=1029
gz[sr wo[pf 	給我	c=1 d=1 t=827
hb[pk dr[lu 	後端	c=5 d=4.15296 t=360
hb[pk mm[ew 	後面	c=1 d=1 t=1118
hb[pk qi[qo 	後期	c=1 d=1 t=571
hb[pk tl[sk 	後臺	c=1 d=1 t=1272
he[aw ci[eb gs[gb vf[fi 	核磁共振	c=2 d=1.94649 t=702
he[rh b;[bk 	合併	c=0 d=0.1 t=488
he[rh li[wo hw[rq 	合理化	c=1 d=1 t=56
he[rh ts[kh 	合同	c=1 d=1 t=264
he[rh yi[hh 	合一	c=0 d=0.1 t=399
he[rm zi[lh 	盒子	c=0 d=0.1 t=653
hf[rg 	很	c=0 d=0.137908 t=879
hf[rg da[hr 	很大	c=4 d=2.14431 t=1522
hf[rg do[xx 	很多	c=3 d=1.17801 t=1141
hf[rg do[xx hf[rg do[xx 	很多很多	c=1 d=1 t=961
hf[rg do[xx qm[bo 	很多前	c=1 d=1 t=78
hf[rg do[xx rf[pd 	很多人	c=1 d=1 t=894
hf[rg kp[wa nj[yv 	很困難	c=1 d=1 t=686
hf[rg nj[yv 	很難	c=2 d=1.96561 t=737
hf[rg qi[dk gy[xy 	很奇怪	c=1 d=1 t=1468
hf[rg so[pj rf[rq ys[ou 	很所任用	c=1 d=1 t=880
hk[nz 	好	c=2 d=1.07305 t=1668
hk[nz ui[hk q;[xf 	好事情	c=1 d=1 t=1224
hk[nz zk[dk 	好澡	c=-1 d=0.995012 t=1667
hk[nz zk[ou 	好早	c=3 d=2.98506 t=1672
hk[wu hw[ru 	豪華	c=1 d=1 t=1659
hl[bz bu[eu ru[nk 	還不如	c=1 d=1 t=1682
hl[bz mz[dj 	還沒	c=1 d=1 t=1625
hl[bz ui[op 	還是	c=8 d=2.08689 t=1680
hl[bz vf[uj ui[op 	還真是	c=1 d=1 t=1640
hl[bz xd[ax 	還想	c=1 d=1 t=1017
hl[bz xu[ye yk[xn 	還需要	c=1 d=1 t=572
hl[bz yb[uo 	還有	c=3 d=1.00411 t=1383
ho[cq de[ro 	獲得	c=2 d=1.44709 t=1934
ho[cq qu[ey 	獲取	c=1 d=1 t=97
ho[gk ve[to 	或者	c=1 d=1 t=530
hr[fd ig[wv 	換成	c=2 d=1.85214 t=1956
hs[sg zk[cd 	紅棗	c=1 d=1 t=1662
hu[hv lm[eb wh[ki 	互聯網	c=2 d=1.02086 t=1520
hu[hv wz[dl 	互爲	c=1 d=1 t=1375
hu[kp yu[ke 	呼籲	c=1 d=1 t=1220
hu[qp ib[zq 	狐臭	c=1 d=1 t=1631
hv[re 	會	c=0 d=0.1 t=1992
hv[re bu[eu hv[re 	會不會	c=1 d=1 t=802
hv[re bz[yp 	會被	c=2 d=1.80252 t=1854
hv[re gf[zg 	會跟	c=1 d=1 t=1874
hv[re hb[pk 	會後	c=1 d=1 t=1137
hv[re yb[uo 	會有	c=2 d=1.01412 t=1140
hv[re yi[yd 	會議	c=1 d=1 t=1595
hv[wk da[vr 	回答	c=2 d=1.13068 t=1350
hw[cr qm[jj 	花錢	c=0 d=0.1 t=1083
hw[cr xc[jx 	花銷	c=1 d=1 t=1649
hw[ht b;[ub 	畫餅	c=1 d=1 t=10
hw[rq 	化	c=1 d=1 t=605
hw[rq xc[al 	化校	c=1 d=1 t=1648
hw[yq 	話	c=1 d=1 t=1122
hy[xb yi[bs 	懷疑	c=1 d=1 t=1635
hz[sd 	黑	c=0 d=0.1 t=653
hz[sd he[rm zi[lh 	黑盒子	c=1 d=1 t=654
ia[ao kj[fm 	查看	c=1 d=1 t=872
ia[yg bu[eu do[xx 	差不多	c=1 d=1 t=713
ia[yg de[ro 	差得	c=1 d=1 t=1295
ib[fy yh[ay 	抽樣	c=0 d=0.1 t=868
ib[fy yh[ay jm[ar ia[ao 	抽樣檢查	c=1 d=1 t=869
if[dg mo[dj ig[wv bf[ah 	沉沒成本	c=1 d=1 t=9
if[eq xn[jd 	陳欣	c=1 d=1 t=1530
ig[fx 	撐	c=3 d=2.97032 t=1227
ig[hk xu[gy 	程序	c=6 d=2.77234 t=1876
ig[wv yu[yw 	成語	c=3 d=1.99986 t=1605
ih[tv j;[ow 	場景	c=1 d=1 t=884
ih[xe ui[yq 	嘗試	c=3 d=2.06348 t=1703
ii[ft xu[su 	持續	c=1 d=1 t=1000
ij[lp ug[pf 	產生	c=3 d=2.21538 t=1927
ir[re bo[fp 	傳播	c=10 d=5.44229 t=1136
ir[re bo[fp jw[rr vi[ru 	傳播價值	c=1 d=1 t=773
ir[re bo[fp xc[lw go[oa 	傳播效果	c=1 d=1 t=1086
ir[re ts[sw mz[ng ti[ra 	傳統媒體	c=2 d=1.50409 t=1083
is[ph xn[lj 	重新	c=1 d=1 t=401
iu[ck 	出	c=1 d=0.354107 t=635
iu[ck ll[hm 	出來	c=12 d=3.06453 t=1744
iu[ck qi[dk 	出奇	c=1 d=1 t=63
iu[ck qu[ts 	出去	c=1 d=1 t=1430
iu[ck xm[wj 	出現	c=1 d=1 t=1996
iu[er le[vu 	除了	c=1 d=1 t=341
iu[wb li[wo 	處理	c=5 d=2.27125 t=1557
iu[wb li[wo bu[eu wj[we 	處理不玩	c=1 d=1 t=151
iu[yd bu[vu 	初步	c=1 d=1 t=316
iu[yd qi[qo 	初期	c=1 d=1 t=62
j;[ss y;[ck 	經營	c=2 d=1.74082 t=129
jc[al dv[yc 	校對	c=1 d=1 t=329
jd[dx ta[gb 	將它	c=1 d=1 t=1921
jd[ew di[ru 	降低	c=2 d=1.45158 t=722
jd[ye 	講	c=4 d=1.14772 t=1607
ji[aj uk[xp uu[mw 	極少數	c=1 d=1 t=189
ji[aj xm[eg 	極限	c=2 d=1.03688 t=1899
ji[fw 	擠	c=1 d=1 t=76
ji[ge 	即	c=1 d=1 t=1439
ji[hk lz[ty 	積累	c=0 d=0.1 t=988
ji[pv ge[ru 	幾個	c=1 d=1 t=1441
ji[pv ge[ru rf[pd 	幾個人	c=1 d=1 t=906
ji[pv ju[bk hw[yq 	幾句話	c=1 d=1 t=1260
ji[pv ui[hu 	幾十	c=1 d=0.3334 t=1206
ji[pv ui[hu ge[ru rf[pd 	幾十個人	c=1 d=1 t=1207
ji[qt bf[ah 	基本	c=4 d=2.39935 t=573
ji[qt bf[ah uh[bh 	基本上	c=1 d=1 t=471
ji[qt iu[ei 	基礎	c=1 d=1 t=1019
ji[sm ig[lu 	繼承	c=3 d=2.65592 t=1968
ji[sm xu[su 	繼續	c=2 d=1.00193 t=1563
ji[va 	集	c=3 d=1.03633 t=1464
ji[va vs[ku 	集中	c=1 d=1 t=233
ji[yk lu[xu 	記錄	c=2 d=1.00064 t=1608
ji[yk ve[to 	記者	c=1 d=1 t=770
ji[yu hw[gd 	計劃	c=3 d=1.17538 t=663
jm[ar ia[ao 	檢查	c=2 d=1.9912 t=1761
jm[ry jd[dx 	健將	c=1 d=1 t=1386
jm[um du[um 	監督	c=2 d=1.04712 t=1411
jm[vb zl[ut xm[gw uh[bh 	箭在弦上	c=1 d=1 t=1166
jm[vm dj[bo 	簡單	c=3 d=1.02476 t=1387
jm[yj 	建	c=2 d=1.58567 t=595
jm[yj yi[yd 	建議	c=1 d=1.00009 t=1881
jm[yj yi[yd he[rh b;[bk 	建議合併	c=1 d=1 t=489
jn[ez ru[pd 	進入	c=1 d=1 t=109
jn[ez vj[ug 	進展	c=2 d=1.01191 t=1445
jn[ez x;[rh 	進行	c=1 d=1 t=1765
jn[jz yi[di ci[yv 	近義詞	c=1 d=1 t=463
jn[rd nm[rn 	今年	c=1 d=1 t=1095
jn[rw 	金	c=1 d=1 t=73
jn[ud ke[dk ng[sb 	儘可能	c=1 d=1 t=154
jn[ud ky[xv 	儘快	c=1 d=1 t=1190
jn[ud ld[oh 	儘量	c=1 d=1 t=928
jn[ud yi[hh qx[qd 	盡一切	c=0 d=0.1 t=95
jq[sv vg[hv 	糾正	c=1 d=1 t=419
jq[wy gz[sr 	就給	c=0 d=0.1 t=41
jq[wy gz[sr wo[pf mf[rm 	就給我們	c=1 d=1 t=42
jq[wy pa[xb 	就怕	c=2 d=1.19691 t=1225
jq[wy ui[op 	就是	c=2 d=1.35345 t=1639
jq[wy yi[bm 	就益	c=1 d=1 t=835
jq[wy yi[kv 	就已	c=1 d=1 t=834
jt[dv d;[gp 	決定	c=1 d=1 t=1396
jt[sd dv[yc 	絕對	c=1 d=1 t=1887
jt[xj de[ro 	覺得	c=2 d=1.29969 t=1419
ju[bk zi[lh 	句子	c=5 d=3.03889 t=638
jw[gu j;[tl 	家境	c=0 d=0.1 t=86
jw[gu j;[tl pn[fb hj[gd 	家境貧寒	c=1 d=1 t=87
jw[gu li[ot 	家裏	c=0 d=0.1 t=76
jw[gu li[ot yb[uo 	家裏有	c=1 d=1 t=77
jw[la gb[ab 	架構	c=1 d=1 t=1358
jw[lk 	加	c=1 d=1 t=1273
jw[lk ky[xv 	加快	c=1 d=1 t=607
jw[lk ru[pd 	加入	c=1 d=1 t=328
jw[lk zl[ti 	加載	c=1 d=1 t=1704
jw[rk ue[yj 	假設	c=1 d=1 t=586
jw[rr vi[ru 	價值	c=0 d=0.1 t=772
jx[ce dm[bd 	節點	c=2 d=1.98511 t=1581
jx[dd jt[dv 	解決	c=2 d=1.93239 t=28
jx[dd ui[py 	解釋	c=1 d=1 t=517
jx[dd xi[aj 	解析	c=1 d=1 t=1855
jx[fl 	接	c=0 d=0.1 t=296
jx[fl gr[vg 	接管	c=1 d=1 t=1811
jx[fl kb[uv 	接口	c=2 d=1.00037 t=1901
jx[fl ru[pd 	接入	c=1 d=1 t=1753
jx[fl ub[ay 	接受	c=1 d=1 t=914
jx[fl ub[vw dk[hd 	接收到	c=1 d=1 t=297
jx[rp uk[sd 	介紹	c=1 d=1 t=1152
jx[su gb[ab hw[rq 	結構化	c=1 d=1 t=535
jx[su go[oa 	結果	c=1 d=1 t=1535
jx[su uu[hk 	結束	c=2 d=1.90937 t=368
jx[tr mm[ew 	界面	c=1 d=1 t=780
kb[uv x;[kt 	口型	c=1 d=1 t=190
kd[ak jw[la 	框架	c=1 d=1 t=1883
ke[dk ng[sb 	可能	c=14 d=2.30924 t=1822
ke[dk vi[fj x;[rh 	可執行	c=3 d=2.45657 t=1844
ke[dk yi[sr 	可以	c=33 d=5.65964 t=1951
ke[dk yi[sr kj[fm ds[el 	可以看動	c=1 d=1 t=568
ke[dk yi[sr ng[sb 	可以能	c=1 d=1 t=1297
ke[dk yi[ud 	可懿	c=1 d=1 t=697
ke[hd yj[ek 	科研	c=3 d=2.42837 t=1158
